# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
Umm, excuse me.	呃，不好意思。
Whoa, you're like George Washington!	哇，你就像喬治・華盛頓一樣！
What are you looking at out there?	你在看外面什麼？
Now what are you looking at out there?	你現在又在看外面什麼？
Gee, I gotta go now.	唉，我得走了。
I've had a bit of practice.\255\003Martha frequently hides them from me as a joke.	我練過一點。\255\003瑪莎常把牙藏起來開我玩笑。
Pondering the great truths, eh?\255\003Well?	在思索偉大的真理啊？\255\003然後呢？
Oh yes, it's quite true.\255\003Why, I've cut down ACRES of cherry trees in my day.	喔對，千真萬確。\255\003想當年我可是砍過好幾英畝的櫻桃樹。
Freezing?	冷死了？
Poppycock!	胡扯！
Balderdash!	鬼話！
Pshaw!	呸！
Gedoudahere!	少來了！
Cold?\255\003Why, you don't know the meaning of the word!\255\003I spent a winter at Valley Forge, now THAT was cold!\255\003Why, my spit would freeze before it hit the ground!	冷？\255\003哼，你根本不懂那個字的意思！\255\003我在福吉谷過了一整個冬天，那才叫冷！\255\003我吐的口水還沒落地就結冰了！
Cool.	酷。
Extremely.	極度。
Very much like him, according to my wife, MRS. Washington.	據我太太——華盛頓夫人——所說，非常像他。
Whoa!	哇！
