# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
Yes, I know.	是，我知道。
It's mine, mine, mine.\255\001The meter says it's at zero power.	是我的、我的、我的。\255\001錶上顯示電量是零。
The meter says it's fully powered.	錶上顯示電力充飽了。
FLUSH my one chance of getting out of here?\255\003Shyeah!	把我唯一離開這裡的機會沖掉？\255\003想得美！
battery	電池
Just looks like a regular hammer to me^\255\003^but then I'm no scientist.	我看就是把普通鐵鎚^\255\003^不過我又不是科學家。
Just a plain ol' hammer, I'd say.	我看就是把普通老鐵鎚。
To me, it looks like a normal hammer.	在我看來就是把普通鐵鎚。
left-handed hammer	左撇子鐵鎚
Mr. Science Guy?	科學先生？
Bumbling beakers!  What now?	燒杯打翻啦！又怎麼了？
How incredibly annoying!	有夠煩人！
Glad I invented it!	還好那是我發明的！
Stop! That book's starting to put me to sleep!	停！那本書開始讓我想睡了！
He seems busy.	他好像很忙。
Red Edison	瑞德・艾迪生
Hey!	喂！
Only employees are allowed to use that lab coat!	只有員工才能用那件實驗袍！
It looks more like a raincoat than a lab coat.	那看起來比較像雨衣，不像實驗袍。
It looks kinda small for me.	那對我來說好像有點小。
lab coat	實驗袍
It's covered with plans and junk.	上面貼滿了設計圖和雜物。
Whatever that is, bring it here.	不管那是什麼，拿過來。
bulletin board	佈告欄
What is it this time?	這次又怎樣？
You look kinda familiar.	你看起來有點眼熟。
Do you know Ben Franklin?	你認識班・富蘭克林嗎？
What are you doing?	你在做什麼？
