# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
It's stuck.	卡住了。
We've got him safely locked in the next room while we go over his books.	我們把他安全地鎖在隔壁房間，好查他的帳。
No, you can't go in and see him.	不行，你不能進去看他。
And don't even think about staging some kind of rescue.	也別想搞什麼營救行動。
Very funny.	真好笑。
Keep your nose clean, kid.	安分點，小子。
The old disappearing ink gag, eh?\255\003Very amusing.\255\003I tried that on my boss once.	老掉牙的隱形墨水把戲啊？\255\003真有趣。\255\003我以前對我老闆用過一次。
Oh?  What happened?	喔？後來呢？
He got sent here.	他被派來這裡了。
Boy, that's even more boring than a PS-967-J form.	天啊，那比 PS-967-J 表格還無聊。
Yeah, shut up.	是啊，閉嘴吧。
Dr. Fred and Dead Cousin Ted are both in there.	佛瑞德博士和泰德表哥的屍體都在裡面。
Dr. Fred's lying on the bed, wrapped in red tape.	佛瑞德博士躺在床上，被紅膠帶纏著。
There doesn't seem to be anything dangerous in there.	裡面好像沒什麼危險的東西。
chattering teeth	咯咯響的玩具牙齒
That would be funny.\255\003If only I had the time.	那會很好笑。\255\003可惜我沒時間。
That wouldn't be funny.	那不好笑。
I don't think it'll stay in there while they're chattering.	它們在咯咯響的時候我看放不住。
Oooh, no.\255\003I might break something.	喔，不。\255\003我可能會弄壞東西。
Oooh, no.\255\003This is a nice fork.	喔，不。\255\003這叉子很好。
Oooh, no.\255\003I hate the sound of teeth biting forks.	喔，不。\255\003我討厭牙齒咬叉子的聲音。
That's a stupid thing to do with a perfectly good set of chattering teeth.	對一副好好的咯咯牙做那種事太蠢了。
Now, just calm down for a second^	好了，先冷靜一下^
Jumpy little sucker.	這小東西真會跳。
They open and close on their own.	它們會自己開開合合。
They're in as far as they can go.	它們已經塞到底了。
trapped teeth	卡住的牙齒
They look dangerous!	它們看起來很危險！
Looks like they all escaped.	看來牠們全跑掉了。
No use in doing that, it's empty.	那樣沒用，是空的。
vat of teeth	一缸牙齒
Care for a fine smoke?	來根好菸嗎？
I guess he's trying to quit.	我猜他在戒菸。
I want to save it for maximum comedy potential.	我要留著它，發揮最大的喜劇效果。
Heck, no.\255\003It might go off!	才不要。\255\003它可能會爆！
Almost as dangerous as the real thing.	幾乎跟真的一樣危險。
exploding cigar	爆炸雪茄
The voice of Oozo in a box.	裝在盒子裡的烏佐笑聲。
Why would he need a sense of humor in here?	他在這裡要幽默感做什麼？
box o' laughs	笑聲盒
You lookin' at me?	你在看我嗎？
