# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
Don't touch it!	別碰它！
We have to DO something!	我們一定要做點什麼！
We have to do SOMETHING!	我們一定要做點什麼！
You're going to get really chafed hands doing that.	你那樣做手會磨破皮。
How's the mad scientist biz?	瘋狂科學家這行還好嗎？
Well, gotta go save the world.	好啦，我得去拯救世界了。
Call me when you get a diamond.	拿到鑽石再叫我。
What do you suggest, college boy?	你有什麼建議，大學生？
No diamond for the central unit^\255\003^no power for the Chron-O-Johns^	中央機組沒有鑽石^\255\003^時光廁就沒有電^
^a mutant monster of my own creation roaming the countryside, taking over the world^	^我親手造出來的變種怪物在鄉間遊蕩，準備接管世界^
It's a dark day for mad science.	這是瘋狂科學的黑暗日子。
Yeah!  We have to get a new diamond!	對！我們得弄一顆新鑽石！
Why can't we just fix the time machine?	我們為什麼不能直接修時光機？
What if we unpollute the river?	要是我們把河水淨化呢？
How about catching Purple Tentacle?	抓住紫色觸手怎麼樣？
I guess I'll have to go save the world myself, then!	那我看我只好自己去拯救世界了！
Isn't there ANYTHING we can do?	我們就沒有一點辦法嗎？
Go diamond shopping!	去買鑽石！
It needs a whole new diamond!	它需要一顆全新的鑽石！
Now where am I going to get the money?	我要去哪弄那筆錢？
Bake sale?	辦烘焙義賣？
How much could it possibly cost?	它能貴到哪去？
I thought you were rich!	我還以為你很有錢！
Hey, I know!  Let's put on a show in the old barn!	欸，我知道了！我們在舊穀倉辦場表演吧！
Do you realize how much a diamond costs?	你知道一顆鑽石多少錢嗎？
Two months of the groom's salary?	新郎兩個月的薪水？
TWO MILLION DOLLARS!!!	兩百萬美元！！！
I don't know about you, but I'm a little strapped for cash right now.	我不知道你怎樣，但我現在手頭有點緊。
So?  You've got money, don't you?	所以呢？你有錢，不是嗎？
Well^\255\003I didn't get all the money I expected from that TV show about us.	這個嘛^\255\003那部以我們為題材的電視劇，我沒拿到預期的錢。
We've had to rent out our mansion as a hotel just to make ends meet.	我們得把大樓租出去當旅館才勉強打平。
(sigh)	（嘆氣）
If only I had signed that contract in time^	要是我當初及時簽了那份合約^
What contract?	什麼合約？
What TV show about you?	什麼以你們為題材的電視劇？
Well, I'll find the money somewhere!	好，那我去別的地方生錢！
Well, after that incident where I was possessed by a meteor from outer space^	就是那次我被外太空隕石附身的事件之後^
Somebody decided to make a show about us^\255\003But they didn't pay us anything!	有人決定拍一部關於我們的劇^\255\003但他們一毛錢都沒付給我們！
All we got was a cut of the video game.	我們只分到電玩遊戲的一小份。
Wow.  That thing made millions!	哇。那玩意賺了好幾百萬！
Yeah.  I forgot to sign the royalty contract in time though.\255\003I still have it in my safe upstairs.	是啊。可惜我忘了及時簽版稅合約。\255\003它還鎖在樓上我的保險箱裡。
I forgot the combination!	我忘了密碼！
But that's^\255\003^that's so STUPID, Doctor Fred!	但那也^\255\003^那也太蠢了吧，佛瑞德博士！
I know.  It gives my enormous brain nightmares.\255\003Every night I dream about opening the safe.\255\003^but I find something horrible inside and slam it shut^	我知道。這讓我那顆巨大的腦袋做惡夢。\255\003我每晚都夢到打開保險箱。\255\003^但裡面有可怕的東西，我又砰地把它關上^
^over and over again, night after night.	^一次又一次，夜復一夜。
Is that why you drink so much coffee?	所以你才喝那麼多咖啡？
I haven't slept in two years.	我兩年沒睡了。
I could just shut off my Sludge-O-Matic\015 machine, but it's too late--	我大可把污泥自動機\015 關掉，但已經太遲了——
You have a machine whose sole function is producing toxic waste?!?	你有一台唯一功能就是製造有毒廢棄物的機器？！
You can't have a high-tech laboratory like this and not spew poisonous filth^\255\003^all the other mad scientists would laugh.	有這種高科技實驗室卻不噴點毒污，怎麼行^\255\003^其他瘋狂科學家會笑話的。
He's long gone!\255\003Probably taking over the world as we speak!	他早就跑了！\255\003說不定此刻正在接管世界！
