# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
Later, dude.	回頭見，老兄。
Except that they're usually a bit more open^	只不過他們通常敞開一點^
Except that you're a little older^	只不過你年紀大了一點^
Except most of them aren't quite all there^	只不過他們大多數都不太完整^
Except for the bandages^	只不過多了繃帶^
Except you probably know more than most of them^	只不過你懂的大概比他們多數人還多^
Except even you dress better than they do^	只不過連你都穿得比他們好^
All that white really gets to me.	那一身白真的很打動我。
My grandmother has a couch covered in that material.	我奶奶有張沙發就是那種材質的。
Is that what the well-dressed Egyptian wore?	那是穿著講究的埃及人的打扮嗎？
How am I going to get you downstairs with the others?	我要怎麼把你跟其他人一起弄到樓下？
Your smile isn't much to look at.	你的笑容不怎麼好看。
We've got to do something about your hair.	你的頭髮得想想辦法。
We've still got to do something about your hair.	你的頭髮還是得想想辦法。
I guess we can't do much about your sense of humor.	我想你的幽默感我們是沒辦法了。
I think this guy next to you might be a problem.	我覺得你旁邊那個人可能是個問題。
The froofy guy next to you is definitely a problem.	你旁邊那個花俏的傢伙絕對是個問題。
We gotta do something about this Harold guy or we're sunk.	我們得處理這個哈洛，不然就完了。
Where am I going to find a human to enter?	我要去哪找一個人類來參賽？
Is it really MORAL?	這真的合乎道德嗎？
What do you think they do with the humans afterwards?	你覺得他們事後會怎麼處置那些人類？
But I really should go now.	但我真的該走了。
Most of the humans are probably entered already.	大部分的人類大概都已經報名了。
