# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
Circular Prints Left Behind	現場留下圓形印痕
Beats past optimum: \255\004\000\064     	
Optimum beat:       46      	
Optimum beat:       80      	
Optimum beat:       101      	
Optimum beat:       146      	
Optimum beat:       172      	
Optimum beat:       187      	
Optimum beat:       222      	
LucasArts Entertainment Company\255\001Presents\255\002	LucasArts Entertainment Company\255\001呈獻\255\002
Written and Designed by\255\002	編劇與設計\255\002
\255\012\193\000Dave Grossman and Tim Schafer\255\002	
\255\012\193\000Tim Schafer and Dave Grossman\255\002	
 Programmers\255\012\193\000\255\001\255\001 Gwen Musengwa\255\001 Judith Lucero\255\001         Jonathan Ackley\255\001      Ron Baldwin\255\001                Dave Grossman\255\001                    Tim Schafer\255\002	
\255\012\015\000Lead Artist\254\001\255\012\193\000Peter Chan\255\001                                        \255\012\015\000Lead Animator\255\001\255\012\193\000                                \009           \009\009Larry Ahern\255\002	
\255\012\015\000       Stylist /\255\001Background Artist\255\001\255\012\193\000    Peter Chan\255\001\255\012\015\000                                     Character Designer\255\001\255\012\193\000                                           Larry Ahern	
\255\012\015\000Animators	\255\012\015\000動畫師
\255\012\193\000         Larry Ahern\255\001       Lela Dowling\254\001     Kyle Balda\254\001    Sean Turner\254\001 Jesse Clark\255\002	
\255\012\015\000Art Technicians\255\002	\255\012\015\000美術技術\255\002
\255\012\193\000   Jesse Clark\254\001    Ron Lussier\255\002	
\255\012\015\000Music	\255\012\015\000音樂
\255\012\193\000   Clint Bajakian\255\002	
\255\012\193\000     Peter McConnell\255\002	
\255\012\193\000       Michael Z. Land\255\002	
\255\012\015\000Digital Effects Editing\255\002	\255\012\015\000數位特效剪輯\255\002
\255\012\193\000        Ron Baldwin\255\002	
\255\012\015\000Lead Tester\254\001\255\012\193\000   Jo `Captain Tripps` Ashburn\255\002	
\255\012\015\000Testing        \255\001\255\001\255\012\193\000   Leyton Chew\255\001              Chip Hinnenberg\255\001       Brett Tosti\255\001                   Mark A. Nadeau\255\002	
\255\012\015\000Testing        \255\001\255\001\255\012\193\000   Dan Connors\255\001   Wayne Cline\255\001                 Mark Cartwright\255\001        Dana Fong  \255\002	
\255\012\015\000Testing        \255\001\255\001\255\012\193\000     Doyle Gilstrap Jr.\255\001            Matthew Forbush\255\002	
\255\012\015\000SCUMM system courtesy of\254\001\255\012\193\000  Ron Gilbert\255\001    Aric Wilmunder\254\001      Brad P. Taylor\254\001        Vince Lee\255\002	
\255\012\015\000iMUSE courtesy of\255\002	\255\012\015\000iMUSE 技術提供\255\002
\255\012\193\000   Michael Z. Land\255\002	
\255\012\193\000      Peter McConnell\255\002	
\255\012\015\000Voices Produced and Directed by\255\001\255\012\193\000         Tamlynn Barra\255\002	
\255\012\015\000Voice Technology by\255\001\255\012\193\000 Aric Wilmunder\255\002	
\255\012\015\000Story by\255\001\255\012\193\000   Dave Grossman\255\001     Tim Schafer\255\001       Ron Gilbert\255\001         Gary Winnick\255\002	
