# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
Mmmm^	嗯^
He can pass out standing up and not drop anything.	他可以站著昏過去，手上的東西一樣都不掉。
The two of you have a lot in common.	你們兩個有很多共同點。
Wassup?	怎樣？
Don't feel like talking, huh?\255\003Vow of silence or something probably, right?	不想講話啊？\255\003大概是發了什麼禁語誓之類的，對吧？
Well, that's cool.	那也酷。
I have something for Red Edison.	我有東西要給瑞德・艾迪生。
Know where I can find some oil?	知道哪裡有油嗎？
Know where I can get some vinegar?	知道哪裡弄得到醋嗎？
Know where I can get some gold?	知道哪裡弄得到黃金嗎？
Great hat, man.	帽子不錯，老兄。
Well, nice talking to you, dude.	好啦，跟你聊天很愉快，老兄。
