# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
Don't touch my stamps!	別碰我的郵票！
Well, Dad's in the basement, doing an experiment^\255\003Mom's in the next room, spying on a honeymoon.\255\003Ted's in the front yard^	嗯，我爸在地下室做實驗^\255\003我媽在隔壁房間偷窺蜜月夫妻。\255\003泰德在院子裡^
Holdin' up a bowl-a-lard?	頂著個豬油盤子？
Well^\255\003It's a birdbath, actually, but it rhymes better your way.	呃^\255\003其實那是鳥浴盆，不過你那樣講押韻多了。
Peace be with you.	願平安與你同在。
Hey, aren't you Weird Ed Edison, the paramilitary nut?	欸，你不是怪異愛德・艾迪生，那個軍事狂嗎？
Why yes, I--\255\003Hey!  Do I know you?	是啊，我——\255\003欸！我認識你嗎？
Yeah!  I'm Bernard Bernou¸i.\255\003I broke into your house five years ago^\255\003^kidnapped your hamster, broke into your piggy bank^	對！我是伯納・白努利。\255\003我五年前闖進你家^\255\003^綁架你的倉鼠、撬開你的存錢筒^
Mmmm^  Nope.\255\003Doesn't ring a bell, but I can't remember much about that period anyway.	嗯^沒印象。\255\003完全想不起來，不過那段時期我本來就記不太得。
My psychotherapist thinks something traumatic happened to me back then that I'm blocking out.	我的心理治療師認為那時候我發生過什麼創傷，被我壓抑掉了。
So you gave up the crazy military commando thing?	所以你放棄那套瘋狂的軍事突擊隊玩意了？
Does it have anything to do with a hamster?	那跟倉鼠有關嗎？
Open up, Ed.  Come on, share the pain with Bernie.	敞開心胸吧，愛德。來，把痛苦跟伯尼分享。
So, what are you up to these days?	那你最近在忙什麼？
I'm much better now.\255\003I don't have those^\255\003^those bad thoughts anymore.	我現在好多了。\255\003我不再有那些^\255\003^那些壞念頭了。
Now, I collect stamps.	現在我集郵。
All I know is that I used to have a cute, white hamster with spots.\255\003And now I have a cute brown one, with no spots.\255\003It used to worry me, and the nightmares would come.	我只知道我以前有隻可愛的白倉鼠，身上有斑點。\255\003現在我有隻可愛的棕色的，沒有斑點。\255\003這曾讓我很不安，惡夢就會來。
Don't worry about me.	別擔心我。
Hey! Leave the REST of my stuff ALONE!\255\003And get out of here!	喂！我其他東西你別碰！\255\003然後給我滾出去！
Care for some coffee, Ed?	要來點咖啡嗎，愛德？
No, no, I can't drink coffee, not since--\255\003--since--\255\003--it just makes me edgy.	不不，我不能喝咖啡，自從——\255\003——自從——\255\003——它只會讓我焦躁。
That's so boring it almost put me to sleep.\255\003And I collect STAMPS.	那無聊到差點讓我睡著。\255\003而我可是集郵的人。
Hey, wanna see a neat trick?	欸，想看個厲害的把戲嗎？
Sure!	好啊！
Neat, huh?	厲害吧？
My pony express stamps!	我的快馬郵遞郵票！
You ruined my pony express stamps!\255\003Not to mention five years of therapy!	你毀了我的快馬郵遞郵票！\255\003更別提五年的治療！
GET OUT OF MY ROOM!!!	滾出我的房間！！！
Geeze!  What a grump!\255\003He should really try to find some outlet for those--	天啊！真是個暴躁鬼！\255\003他真該幫那些——找個出口
^negative feelings.	^負面情緒。
I think he'd kill me if I did it again.	我看我再做一次他會殺了我。
It's got a picture of a guy on a horse.	上面有個人騎馬的圖案。
Hmmm^ A 1778 pony express general delivery stamp^\255\003Not too valuable^\255\003^but it is uncanceled.	嗯^1778 年的快馬郵遞普通投遞郵票^\255\003不算太值錢^\255\003^但沒有蓋銷。
I love the way these taste.	我超愛這個的味道。
Take that, stamp.	吃我這招，郵票。
I might want to use it.	我可能會用到。
Not again.	不要又來。
No, who knows what that'll do to it.	不，誰知道那樣會對它造成什麼影響。
stamp	郵票
These are well-constructed!	這些做得很紮實！
These are great stairs!	這樓梯真棒！
What if somebody wants to use the stairs?	萬一有人要用樓梯怎麼辦？
Now that would be just plain mean.	那樣就太惡劣了。
It looks like all the ink's disappeared now.	看起來墨水全都消失了。
Take that.	吃我這招。
I don't want to risk damaging these in the Chron-O-John.	我不想冒險把這些放進時光廁弄壞。
I don't want to wreck them.	我不想毀了它們。
I think I'll hold on to this one a while.	我想這個我先留著。
Now where'd Dr. Fred go?	佛瑞德博士跑哪去了？
Chateau de Cheap 1775.	廉價堡 1775。
No, thanks.	不用了，謝謝。
Some things are best left unopened.	有些東西最好別打開。
Even I won't drink that.	連我都不喝那個。
vinegar	醋
I can't do it with my bare hands.	我徒手辦不到。
It's already very closed.	已經關得很緊了。
I don't think I can put it back the way it was.	我看沒辦法恢復原狀。
It's a dented old can.	是個凹掉的舊罐子。
There's a plaque here about it.	這裡有塊關於它的牌子。
