# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
Purple Tentacle	紫色觸手
Where did you get this diamond, anyway?	話說回來，這顆鑽石你哪來的？
Ah^\255\003^it was donated by a group of Girl Scouts who were in the neighborhood.	啊^\255\003^是附近一群女童軍捐的。
How heartwarming.	真溫馨。
Whoa.	哇。
Can we bring back my friends now?	現在可以把我朋友帶回來了嗎？
According to my instruments, your lively friend in the future hasn't yet powered her unit.	根據我的儀器，你那位在未來的活潑朋友還沒把她的機器通電。
According to my instruments, your rotund friend in the past hasn't yet powered his unit.	根據我的儀器，你那位在過去的圓潤朋友還沒把他的機器通電。
According to my instruments, your friends have not yet powered their units.	根據我的儀器，你的朋友們都還沒把機器通電。
We've repaired the primary device^\255\003^but before we can do anything, BOTH time pods must be energized as well.\255\003Then we can bring back what's-his-name and who's-her-face!	主裝置已經修好了^\255\003^但在那之前，兩台時光艙都必須通電。\255\003然後我們就能把那個誰和那個誰帶回來了！
Hoagie and Laverne.	霍基和拉玟。
Yes!	對！
Fine specimens!	上等的標本！
Hmmm?	嗯？
Dum de-dum^	嗯哼哼^
Looks like a big storm.	看來會有大風暴。
See, this is why I never wash my car.	你看，這就是我從來不洗車的原因。
Hey, Ben!	嘿，班！
Oh, it's you.	喔，是你啊。
What do you want?	你要幹嘛？
Where are you going?\255\003What about your experiment?	你要去哪？\255\003你的實驗怎麼辦？
Even science sometimes gets called on account of rain, my boy!	孩子，科學有時候也是會因雨延期的！
But how're you ever gonna get lightning if you're not gonna stand out in a storm?	可是你不站到暴風雨裡，要怎麼引到閃電？
To be frank, which I am, I don't know.	說實在的——實在這回事我最在行——我不知道。
The science of electrodynamics^	電動力學這門科學^
^much like your mind, apparently^\255\003^is still in a state of relative infancy.	^顯然就跟你的腦袋一樣^\255\003^都還處在相對幼稚的階段。
Back to the drawing board, I say!	依我看，得重頭來過！
What a genius.	真是天才。
sky-thingy	天上那玩意
It's the breast pocket from the lab coat.	是實驗袍上的胸前口袋。
pocket	口袋
That's the thing I'm supposed to push, I think.	那應該就是我要推的東西吧。
kite	風箏
Boy, that's a real sleeper of a book.\255\003What are you, some kind of geek?	天啊，那本書真是催眠。\255\003你是哪門子的書呆子啊？
Nailed ya dead on, man!	完全被你說中了，老兄！
Unless it's lightning you're talking about, I don't want to know.	除非你要講的是閃電，不然我不想知道。
I don't think he'd get it.	我看他聽不懂。
Nice rain coat.\255\003I wish I needed it, but unfortunately, the sun continues to mock me with its insipid warmth.	雨衣不錯。\255\003真希望我用得上，可惜太陽還在用它那乏味的溫暖嘲笑我。
Please, I'm concentrating.	拜託，我正在專心。
Sure, push me around while you can.	行啊，趁現在推我吧。
If you think I'm something to look at now, just wait.	你要是覺得我現在就夠看了，等著瞧。
Ben Franklin	班・富蘭克林
They look, and smell, a lot better from a distance.	離遠一點，看起來和聞起來都好得多。
outhouses	茅房
The lightning must've charged it up.	一定是閃電把它充飽了。
fully-charged battery	充飽的電池
inn	客棧
It looks pretty much the same as Dr. Fred's motel.	跟佛瑞德博士的汽車旅館幾乎一模一樣。
Wheeeee.	咿呀啊啊。
NOW!	就是現在！
NOW!!!!	就是現在！！！！
NOW, IN THE NAME OF SCIENCE, NOW!!!	現在，以科學之名，就是現在！！！
Oops.	糟糕。
Why didn't you wait for me to say `NOW`?	你怎麼不等我喊 `現在`？
What part of the word `NOW` didn't you understand?	`現在` 這兩個字你是哪裡聽不懂？
Uhhh^	呃^
Errr^	唔^
Duhh^	啊^
Look, it's very simple:\255\003I say `NOW`, and you PUSH the KITE.\255\003Comprenez-vous?	聽好，很簡單：\255\003我喊 `現在`，你就推風箏。\255\003明白否？
Got it.	懂了。
