# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
built-in shop vac	嵌入式工業吸塵器
I don't want to put it in storage yet.\255\003I like it.  I want to carry it around with me.	我還不想把它收起來。\255\003我喜歡它。我想帶著到處走。
junk in boxes	箱子裡的雜物
WELL?	怎麼樣？
Look at that sucker go!\255\003He just keeps running and running and running^	看那小傢伙跑的！\255\003他就一直跑一直跑一直跑^
Why stick a hamster ice-cube in the generator?	幹嘛把倉鼠冰塊塞進發電機？
He won't run.\255\003He just shivers.	他不肯跑。\255\003只會發抖。
dusty warm hamster	溫熱的灰塵倉鼠
Well, it's better than it used to be^\255\003^but it still lacks^ control.	嗯，比以前好多了^\255\003^但還是缺乏^控制力。
No, I might hurt him.	不，我可能會弄傷他。
No, I might get sauce on it.	不，我可能會把醬汁弄上去。
mummy's head	木乃伊的頭
Get it?	懂了嗎？
That's the spirit, Mr. Mummy!	這才對嘛，木乃伊先生！
Gosh, we gotta pick you up a sense of humor somewhere.	天啊，我們得幫你找點幽默感來。
That would get us disqualified!	那樣我們會被取消資格！
Gum chewing is not behavior fitting for a beauty queen.	嚼口香糖不是選美皇后該有的行為。
I could never do that to someone as shy and sensitive as my friend here!	我絕對不能對我這位害羞敏感的朋友做那種事！
Well^	嗯^
He's got an impressive smile^	他的笑容令人印象深刻^
He's got no smile to speak of^	他根本沒有笑容可言^
^a nice, hearty laugh^	^笑聲爽朗好聽^
^absolutely no laugh^	^完全不會笑^
^and he's lots of hair, but there's no STYLE to it.	^而且他毛髮很多，但一點造型都沒有。
^and luscious, stylish hair.	^還有一頭豐潤時髦的秀髮。
^and he's bald as a cue ball.	^而且他禿得像顆撞球。
In other words, not a chance in hell.	換句話說，一點機會也沒有。
Pretty darn good for a mummy.	以木乃伊來說算相當不錯了。
He already has teeth.	他已經有牙齒了。
Take that, mummy.	吃我這招，木乃伊。
He's a good friend, I wouldn't subject him to this stuff.	他是好朋友，我不會這樣對他。
Oh, I never get tired of that one, you witty tentacle!	喔，這招我怎麼看都不膩，你這隻機智的觸手！
What a pretty-boy.	真是個小白臉。
Why, thank you.	哎呀，謝謝你。
Trying to put us all to sleep so you can steal the contest, eh?	想把我們都弄睡好偷走冠軍，是吧？
I can win this contest without cheating.\255\003Well, at least without actually KILLING anybody.	我不作弊也能贏這場比賽。\255\003嗯，至少不必真的殺人。
Howdy.	你好啊。
Oh, look^ red, white, and blue^\255\003Is that look coming back in again?	喔，你看^紅白藍^\255\003這種穿搭又流行回來了嗎？
Howdy, Harold.	你好啊，哈洛。
HOW-dee, I'm sure.	「你——好」，是喔。
Oh, please!\255\003Why must you pester me?	拜託！\255\003你為什麼非要煩我？
Liked that one, did ya?	喜歡那招吧，是不是？
They've been told not to accept gifts from strangers.\255\003But I'll take whatever it is.	他們被交代不能收陌生人的禮物。\255\003不過不管是什麼我都收。
You'd have to really hate somebody to pull a mean trick like that.	要真的很恨一個人，才會用這麼壞的招。
Nice smile.	笑容不錯。
Oh yeah?  Look at this one^	是嗎？看看這個^
Ha!  I've seen better smiles on a horse!	哈！我看過馬笑得比這好看！
Jealous.	嫉妒。
contestant	參賽者
I don't think this guy has much of a chance.	我看這傢伙沒什麼機會。
None of them do--against me that is.	他們都沒有——跟我比的話。
I think he got it.	我想他懂了。
That guy doesn't look like he'd be into this.	那傢伙看起來對這沒興趣。
highly restricted judging area	高度管制評審區
C'mon!  Say something!	拜託！說點什麼吧！
This one's very tense.	這一位非常緊繃。
It's hard to relax when you know you're about to lose.	知道自己快輸了很難放鬆。
Nice outfit.	衣服不錯。
Hi.  I'm Laverne.  Pre-med.	嗨。我是拉玟。醫學預科。
Don't you think these things are just big popularity contests?	你不覺得這種東西根本就是在比人氣嗎？
So^ what's your talent?	那^你的才藝是什麼？
My human's going to win.\255\003You might as well drop out.	我的人類會贏。\255\003你們不如退出算了。
So, what tick bath does your owner prefer?	話說，你主人偏好哪種除蟲藥浴？
Where can I place a bet?	我可以在哪裡下注？
I'm planning a jail break.\255\003Be ready.	我在計畫越獄。\255\003準備好。
Are you for sale?	你賣不賣？
Sit.	坐下。
Don't bother^	別費事了^
^you'll just get bit like the rest of them.	^你只會像其他人一樣被咬。
^their humans told them not to talk to strange tentacles.	^他們的人類交代過不准跟陌生觸手說話。
^they're not here for their intelligence.	^他們不是靠智力來這裡的。
^they're saving their energy for the judges.	^他們在為評審保留體力。
^you might over-stimulate their little brains.	^你可能會過度刺激他們的小腦袋。
Stop chattering, mummy!	別再喀喀作響了，木乃伊！
The judges will think you're chewing gum!	評審會以為你在嚼口香糖！
