# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
I've already won!	我已經贏了！
How'd you get over there?	你怎麼跑到那邊去的？
My ingenious super-battery design, please.	麻煩把我那份巧妙的超級電池設計圖給我。
You really flushed them!	你真的把它沖掉了！
Yes!!!	沒錯！！！
Down the toilet!	沖進馬桶！
No!\255\003Through TIME!	不！\255\003是穿越時間！
Using the highly sophisticated Time-Flux Hydraulic Vortex Chamber I've installed in each Chron-O-John^\255\003You can flush small, inanimate objects to each other through time!	靠著我在每台時光廁裡裝設的高精密時流水力渦旋室^\255\003你們可以把小型無生命物品跨越時間互相沖給對方！
^flush small, inanimate objects to each other through time!	^把小型無生命物品跨越時間互相沖給對方！
Hello!	哈囉！
Dr. Fred?\255\003Can you hear me?	佛瑞德博士？\255\003你聽得到嗎？
Drat.	可惡。
Did you hear something?	你有聽到什麼嗎？
No.\255\003Let's see if What's-his-name catches on.	沒有。\255\003我們看看那個誰會不會開竅。
Oh, great.\255\003I'm stuck in colonial times, tentacles are taking over the world, and now the toilet's backing up.	喔，太好了。\255\003我困在殖民時代，觸手正在接管世界，現在馬桶還堵住了。
Hoagie^	霍基^
^come over here^	^過來這邊^
It's your old pal Doctor Fred.	我是你的老朋友佛瑞德博士。
Doctor Fred?  How'd you get in there?	佛瑞德博士？你怎麼跑進去的？
I want you to pick up those plans you see in the Chron-O-John, Hoagie.	我要你把時光廁裡那份設計圖拿起來，霍基。
Bring them to RED Edison.\255\003He's my great, great, great, great^\255\003^great, great, great^	把它拿去給瑞德・艾迪生。\255\003他是我的曾曾曾曾^\255\003^曾曾曾^
^great, great, great grandfather.\255\003He'll know what to do.	^曾曾曾祖父。\255\003他知道該怎麼辦。
You need the plans to make a super-battery, so you can plug in your Chron-O-John!	你需要那份設計圖來做超級電池，才能給你的時光廁供電！
Okay, if you say so, Bernard.	好吧，你說了算，伯納。
Good boy.	好孩子。
Does he have any experience with electronics?	他有電子方面的經驗嗎？
Uh^ I once saw him take three-thousand volts directly through his head without batting an eye.	呃^我曾看過他頭部直接通過三千伏特，眼睛都沒眨一下。
Didn't he pass out?	他沒昏倒嗎？
Well, he was already passed out when it happened.	嗯，那時候他本來就已經昏了。
Time for me to save the world, I guess.	我看是我該去拯救世界的時候了。
So, as soon as Hoagie gets that battery working, we're set!	所以只要霍基把電池弄好，我們就搞定了！
