# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
Awesome!	讚啦！
We're not sure if we should guarantee the right to bear arms, or if it will generate too many atrocious puns.	我們不確定該不該保障持有武器的權利，還是說那會衍生太多糟糕的雙關笑話。
We don't know whether to call it the `Bill of Rights` or `Appendix A.`	我們不知道該叫它 `權利法案` 還是 `附錄 A。`
I sure hope someone gives us a useful suggestion soon.	真希望快點有人給我們一個有用的建議。
Great!\255\003George's suggestion about the vacuum cleaners really got the old creative juices flowing!	太好了！\255\003喬治那個吸塵器的建議真的讓我們的創意泉湧！
In fact, we've just given ocelots the right to vote!	事實上，我們剛給了虎貓投票權！
We've just finished up amendment 425, which prohibits spelunking on alternate Thursdays.	我們剛完成第 425 條修正案，禁止在隔週四從事洞穴探險。
Even as we speak, Hancock's polishing up his `Single Syllable Undergarment` amendment.	就在此刻，漢考克正在潤飾他的 `單音節內衣` 修正案。
In a few minutes, Washington's going to present his proposal to split the government into eight branches:\255\003Executive, judicial, legislative, bronchial, atypical, Freudian, elliptical, and extra-crispy.	再過幾分鐘，華盛頓就要提出把政府分成八權的方案：\255\003行政、司法、立法、支氣管、非典型、佛洛伊德、橢圓，還有特脆。
By tomorrow we'll have finished all 9800 amendments!	到明天我們就能完成全部 9800 條修正案了！
I hope they've got a good editor.	希望他們有個好編輯。
I'd love to oblige you, young man, but I can't.\255\003This is the only log, and I'm saving it for posterity.	我很樂意幫你，年輕人，可惜不行。\255\003這是唯一一根木頭，我要留給後世。
A real man is warmed by the fires of his spirit!\255\003You should listen to Washington relate his experiences at Valley Forge, and take heed!	真男人靠精神之火取暖！\255\003你該聽聽華盛頓講他在福吉谷的經歷，好好記著！
What?  What's going to happen later?	什麼？等一下會發生什麼事？
Why, yes.\255\003I studied at Virginia Coat and Technical, where I majored in collar theory.\255\003I was captain of the varsity cravat team.	那當然。\255\003我在維吉尼亞外套理工學院唸過書，主修衣領理論。\255\003我還是校隊領巾隊的隊長。
Those are impressive credentials, Tom.	這資歷真了不起，湯姆。
Ah, thank you.\255\003What was your favorite part?	啊，謝謝。\255\003你最喜歡哪一段？
I liked the part about Prudence.	我喜歡講審慎的那段。
I like those S's that look like F's.	我喜歡那些長得像 F 的 S。
I liked the `We the People` part.	我喜歡 `我們人民` 那段。
`Prudence, indeed, will dictate that Governments long established should--`	`審慎確實會告誡我們，行之已久的政府不應——`
Yeah, there's just one thing though^	對，不過有件事^
Who's Prudence?	審慎是誰啊？
Never mind.	沒事。
That's not in the Declaration of--	那不在獨立宣言裡——
Say, that's not bad.\255\003Maybe we can use it.	欸，這不錯。\255\003說不定我們可以用。
Yo.	唷。
