# 原文\t譯文　　譯文欄留空 = 沿用原文；escape（\ddd）與 ^ 原樣保留
Nurse Edna	愛德娜護士
I was just giving a tour to all these\001future game players. Want to come?	我正在幫這些未來的玩家\001導覽。要一起來嗎？
Sure Dave, I'll go anywhere with you!	好啊戴夫，我跟你去哪裡都行！
Oh yes, in Maniac Mansion,\003you not only direct my actions,\001but the actions of two of my friends.	喔對了，在《瘋狂大樓》裡，\003你不只指揮我的行動，\001還要指揮我兩個朋友。
Push   Open    Walk to  Unlock  Turn on 	
Pull   Close   Pick up  New kid Turn off	
Give   Read    What is  Use     Fix	
You point to the verbs you see below to\001construct sentences.	你用下面看到的指令\001來造句。
This is the library.	這裡是圖書室。
It's one of the many rooms in the game.	這是遊戲裡眾多房間之一。
And there are more than 450 objects...	而且有超過 450 個物品……
...that you can use to solve over...	……可以用來解開超過……
Just a second.	等一下。
Hello?	喂？
Hello, who's there?	喂，是誰？
Oh, Mom! I asked you not to call me\001at work.	喔，媽！我說過上班時間\001不要打給我。
I love you too...Mom.	我也愛你……媽。
Sandy?	珊蒂？
SANDY!	珊蒂！
Oh great! Not again!!\003Time to round up the Gang.	真好！又來了！！\003該把大家召集起來了。
Ok! This looks like the old mansion.	好！這看起來就是那棟老大樓。
I'm sure I saw Dr. Fred take Sandy here.\003It's up to us to get her out.	我確定看到佛瑞德博士把珊蒂帶來這裡。\003現在要靠我們把她救出來。
This could be real dangerous.\003If anyone wants to back out^	這可能真的很危險。\003如果有人想退出^
Ok, I'm outta here!	好，我走了！
BERNARD! Don't be a tuna head!\003It's Sandy we're talking about!	伯納！別耍笨了！\003我們說的是珊蒂啊！
Ok.	好啦。
I heard Dr. Fred was kinda cute.	聽說佛瑞德博士還挺帥的。
Let's do it.	動手吧。
I thought we were going to the beach!	我以為我們要去海邊！
Did any of you guys see that movie?\003Four kids went into this strange house\003and...uh...never mind.	你們有人看過那部電影嗎？\003四個小孩走進一棟怪房子\003然後……呃……算了。
Ok, let's go rescue Sandy!	好，我們去救珊蒂！
Push@@@	推@@@@@
Pull@@@	拉@@@@@
Give@@@	給@@@@@
Open@@@@	打開@@@@
Close@@@	關上@@@@
Read@@@@	閱讀@@@@
Walk to@@	走到@@@@@
Pick up@@	拿起@@@@@
What is@@	查看@@@@@
Unlock@@	開鎖@@@@
New kid@	換人@@@@
Use@@@@@	使用@@@@
Turn on@	開啟@@@@
Turn off	關閉@
Fix@@@@@	修理@@@@
        Dave 	        戴夫 
     Syd     	     賽德    
Syd          	賽德         
   Michael   	   邁克爾    
Michael      	邁克爾       
    Wendy    	    溫蒂     
Wendy        	溫蒂         
   Bernard   	   伯納      
Bernard      	伯納         
    Razor    	    瑞爾     
Razor        	瑞爾         
     Jeff    	     傑夫    
Jeff         	傑夫         
How long do we have to stay down here?	我們還要在下面待多久？
Shh... I think I hear something!	噓……我好像聽到什麼！
I miss my hamster.	我想我的倉鼠。
Quiet! I think I hear someone upstairs!	安靜！我好像聽到樓上有人！
Oh great! Who forgot to lock the door?	真好！誰忘記鎖門了？
PURPLE TENTACLE!	紫色觸手！
Yes sir, Dr. Fred SIR!	是的，佛瑞德博士！
Go upstairs and check it out!	上樓去看看！
I really DO miss my hamster!	我真的很想我的倉鼠！
`Game of the Year`	`年度最佳遊戲`
       - Analog Science Fiction Magazine	
`Most innovative game of 1987`	`1987 年最具創新的遊戲`
                  - Computer Entertainer	
`Best of 1987 Award`	`1987 年度最佳獎`
                    - Commodore Magazine	
 - Isaac Asimov Science Fiction Magazine	
`Best game idea of 1987`	`1987 年最佳遊戲創意`
                        - Happy Computer	
`Plenty of laughter among the chills^	`驚悚之中笑聲不斷^
the animation and graphics are superb^	動畫與畫面極為出色^
